ProjectID, BugId, Abstractness (%), AfferentCouplings, AverageBlockDepth, AverageCyclomaticComplexity, AverageDepthofInheritanceHierarchy, AverageLinesOfCodePerMethod, AverageNumberofConstructorsPerType, AverageNumberofFieldsPerType, AverageNumberofMethodsPerType, AverageNumberofParameters, AverageNumberofSubtypes, EfferentCouplings, LinesofCode, NumberofConstructors, NumberofFields, NumberofLines, NumberofMethods, NumberofOperands, NumberofOperators, NumberofPackages, NumberofTypes, NumberofUniqueOperands, NumberofUniqueOperators, ProgramLength, ProgramVocabulary, ProgramVolume, Numberofdeliveredbugs, WeightedMethods,InDegree,OutDegree,DegreeCentrality, CBO, RFC, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode, NoOfTestCasesFailsCoversFaultNode, NoOfTestCasesExecutesDynamicCallGraph,StatementCoverage (%),FilesChangeCount,ClassesChangeCount,MethodsChangeCount,LinesChangeCount,LinesAdded,LinesRemoved,LinesModified,RelevantTestCount,FailingTestCount,Priority,ChangesMethodSignature,ChangesMethodCallArgs,AddsMethodCall,ChangesCondition,AddsVariable,AddsIfStmt,AddsLoop,AddsMethod, TotalPassTest, TotalFailTest, MatrixDensity, MatrixSparsity, ActiveMatrixDensity, MatrixDiversity, MatrixUniqueness, MatrixDDU, Class6
Chart,11, 12.5,0,1.18,2.03,3.28,10.51,1.17,1.89,9.39,0.96,0.67,917,126777,1169,2788,280556,9306,313324,143099,95,991,11915,43,456423,11958,6182563.78,2060.85,21271,0,0,0,0,0,0,0,0,0,40.9,1,1,1,1,0,0,1,543,1,2,0,0,0,0,0,0,0,0,263,1,0.1017316017,0.8982683983,0.2034632035,0.8824749395,0.5238095238,0.0940506171,A
Chart,12, 12.5,0,1.18,2.03,3.28,10.5,1.17,1.89,9.39,0.96,0.67,916,126617,1168,2788,280309,9301,312658,142883,95,990,11901,43,455541,11944,6169846.59,2056.62,21265,2,8,10,11,11,4,3,1,5,32.1,1,1,1,1,0,0,1,201,1,0,0,0,0,0,0,0,0,0,196,1,0.0843506412,0.9156493588,0.1687012825,0.9862218999,0.1824062096,0.0303481796,A
Chart,13, 12.5,0,1.18,2.03,3.28,10.5,1.17,1.89,9.38,0.96,0.67,915,126356,1167,2787,279819,9279,312003,142573,95,989,11896,43,454576,11939,6156502.04,2052.17,21221,0,0,0,0,0,0,0,0,0,63.3,1,1,1,1,0,0,1,195,1,0,0,1,0,0,0,0,0,0,136,1,0.219971494,0.780028506,0.4399429879,0.8900815801,0.2840236686,0.1112194508,B
Chart,14, 12.5,0,1.18,2.03,3.28,10.5,1.18,1.89,9.38,0.96,0.67,914,126287,1166,2786,279651,9272,311715,142439,95,988,11894,43,454154,11937,6150676.96,2050.23,21207,0,0,0,0,0,0,0,0,0,73.5,2,2,4,12,12,0,0,519,4,0,0,0,0,1,0,0,0,0,486,4,0.0572328286,0.9427671714,0.1144656572,0.9852510329,0.2935483871,0.0331056259,C
Chart,15, 12.5,0,1.18,2.03,3.28,10.52,1.18,1.89,9.35,0.96,0.68,913,126038,1165,2781,278784,9237,311662,142494,95,987,11881,43,454156,11924,6149990.1,2050,21128,1,4,5,16,18,3,2,1,15,79.7,1,1,2,5,5,0,0,199,1,0,0,0,0,1,0,0,0,0,196,1,0.0674812915,0.9325187085,0.1349625831,0.9987050658,0.1849942726,0.0249349739,A
Chart,16, 12.5,0,1.18,2.03,3.28,10.51,1.18,1.89,9.35,0.96,0.68,913,125994,1165,2781,278727,9235,311527,142448,95,987,11880,43,453975,11923,6147484.15,2049.16,21124,0,0,0,0,0,0,0,0,0,73.7,1,1,2,3,0,0,3,25,8,2,0,0,0,1,0,0,0,0,13,8,0.1904761905,0.8095238095,0.380952381,0.9952380952,0.484375,0.1836451247,A
Chart,17, 12.6,0,1.18,2.03,3.28,10.52,1.17,1.88,9.29,0.96,0.68,910,125055,1161,2765,276630,9149,309302,141395,95,984,11825,43,450697,11868,6100088.89,2033.36,20971,0,0,0,0,0,0,0,0,0,75.6,1,1,1,2,1,0,1,60,1,2,0,0,0,0,0,0,0,0,46,1,0.0989940354,0.9010059646,0.1979880709,0.9398704903,0.2510460251,0.0467154339,A
Chart,18, 12.6,0,1.18,2.03,3.28,10.52,1.17,1.88,9.29,0.96,0.68,910,125014,1161,2765,276575,9147,309194,141339,95,984,11821,43,450533,11864,6097650.08,2032.55,20965,0,0,0,0,0,0,0,0,0,87.1,2,2,2,13,10,2,1,327,4,0,0,0,0,1,0,0,0,0,237,4,0.1765993343,0.8234006657,0.3531986686,0.9746887967,0.7142857143,0.2458991323,B
Chart,19, 12.6,0,1.18,2.03,3.28,10.51,1.18,1.88,9.26,0.96,0.68,907,124336,1159,2756,275257,9098,307223,140409,95,982,11794,43,447632,11837,6056915.69,2018.97,20855,0,0,0,0,0,0,0,0,0,76.7,1,1,2,6,6,0,0,366,2,0,0,0,0,1,0,0,0,0,359,2,0.086723719,0.913276281,0.1734474381,0.9855801785,0.3030726257,0.0518091613,C
Chart,20, 12.3,0,1.18,2.04,3.28,10.55,1.18,1.85,9.19,0.98,0.66,873,119411,1117,2655,265931,8693,295016,134613,92,945,11564,43,429629,11607,5801154.72,1933.72,20092,1,1,2,3,3,95,94,1,100,86.4,1,1,1,1,0,0,1,296,1,0,0,1,0,0,0,0,0,0,282,1,0.1136631331,0.8863368669,0.2273262662,0.9586998471,0.5784313725,0.1260619779,A
Chart,21, 12.3,0,1.18,2.04,3.28,10.55,1.18,1.85,9.17,0.98,0.66,873,119158,1117,2653,265586,8672,294329,134280,92,945,11555,43,428609,11598,5786902.31,1928.97,20039,1,8,9,13,12,11,10,1,14,84.3,1,1,2,39,39,0,0,17,1,0,0,0,0,1,0,0,1,0,12,1,0.2599067599,0.7400932401,0.5198135198,1,0.2045454545,0.1063254927,A
Chart,22, 12.3,0,1.18,2.04,3.28,10.55,1.18,1.85,9.17,0.98,0.66,873,119109,1117,2653,265463,8670,294099,134190,92,945,11553,43,428289,11596,5782475.24,1927.49,20029,2,1,3,30,16,5,3,2,54,80.6,1,1,3,33,30,1,2,51,6,0,0,0,0,1,0,1,1,1,31,6,0.3495085995,0.6504914005,0.699017199,0.9309309309,0.5454545455,0.3549473083,A
Chart,23, 12.3,0,1.18,2.04,3.28,10.51,1.18,1.84,9.14,0.98,0.66,873,118378,1116,2639,264396,8641,292298,133329,92,945,11519,43,425627,11562,5744731.61,1914.91,19924,0,0,0,0,0,0,0,0,0,43.8,1,1,1,19,19,0,0,5,1,0,0,0,0,0,0,0,0,0,4,1,0.0976683938,0.9023316062,0.1953367876,1,0.0129533679,0.0025302693,A
Chart,24, 12.3,0,1.18,2.04,3.28,10.5,1.18,1.84,9.13,0.98,0.66,873,118185,1116,2637,264037,8631,291749,133066,92,945,11514,43,424815,11557,5733506.86,1911.17,19903,0,0,0,0,0,0,0,0,0,96,1,1,1,1,0,0,1,15,1,0,0,0,0,1,0,0,0,0,9,1,0.4428571429,0.5571428571,0.8857142857,0.6666666667,0.8571428571,0.506122449,A
Chart,25, 12.3,0,1.18,2.04,3.28,10.5,1.18,1.84,9.11,0.98,0.66,873,117988,1115,2635,263336,8609,291096,132856,92,944,11500,43,423952,11543,5721118.02,1907.04,19862,1,15,16,37,19,2,0,2,10,69.4,1,1,2,14,12,0,2,9,4,0,0,0,0,1,0,0,0,0,5,4,0.1756174525,0.8243825475,0.351234905,0.9722222222,0.007646095,0.0026109761,A
Chart,26, 12.5,0,1.18,2.03,3.28,10.45,1.17,1.83,9.08,0.97,0.66,866,115960,1097,2606,259580,8499,285629,130417,92,936,11368,43,416046,11411,5607525.23,1869.18,19555,4,12,16,107,63,45,23,22,525,89.9,1,1,1,2,2,0,0,543,22,0,0,0,0,1,0,0,0,0,517,22,0.0320207574,0.9679792426,0.0640415148,0.9974481175,0.2182806008,0.0139433475,A
Lang,1, 8.6,0,1.28,1.96,2.33,10.84,0.55,1.11,10.32,0.8,0.35,351,59736,261,1055,111751,4883,189621,81141,33,473,11096,50,270762,11146,3640188.88,1213.4,10076,1,2,3,1,5,10,9,1,15,98.1,1,1,1,11,9,0,2,173,1,3,0,0,0,1,0,0,1,0,78,1,0.0098993833,0.9901006167,0.0197987666,0.9870172022,0.2136752137,0.0041755819,A
Lang,2, 8.6,0,1.28,1.96,1,10.83,0.55,1.11,10.3,0.8,0,351,59595,261,1055,111504,4876,189107,80929,33,473,11042,50,270036,11092,3628536.35,1209.51,10054,0,0,0,0,0,0,0,0,0,100,1,1,1,3,3,0,0,14,1,3,0,0,0,1,0,0,0,0,13,1,0.3071428571,0.6928571429,0.6142857143,0.8131868132,0.8,0.3996232339,A
Lang,3, 8.6,0,1.28,1.95,2.33,10.83,0.55,1.11,10.29,0.8,0.35,351,59514,261,1055,111364,4871,188898,80825,33,473,11034,50,269723,11084,3624049.74,1208.02,10034,1,3,4,1,7,9,8,1,23,98.1,1,1,1,4,4,0,0,172,1,2,0,0,0,1,0,0,0,0,77,1,0.0097523559,0.9902476441,0.0195047118,0.9873459873,0.2136752137,0.0041149357,A
Lang,4, 8.6,0,1.28,1.96,2.33,10.82,0.55,1.11,10.28,0.8,0.35,351,59464,261,1055,111258,4867,188736,80749,33,473,11022,50,269485,11072,3620430.78,1206.81,10030,0,0,0,0,0,0,0,0,0,100,1,1,1,4,0,0,4,137,1,3,0,0,0,0,0,0,0,0,29,1,0.4703703704,0.5296296296,0.9407407407,0.6965517241,0.8888888889,0.5824662977,A
Lang,5, 8.6,0,1.28,1.95,2.33,10.82,0.55,1.11,10.23,0.79,0.35,351,59141,261,1051,110423,4841,187503,80312,33,473,10894,50,267815,10944,3593502.17,1197.83,9971,0,0,0,0,0,0,0,0,0,100,1,1,1,21,21,0,0,13,1,3,0,0,0,1,0,0,0,0,12,1,0.3076923077,0.6923076923,0.6153846154,0.8461538462,0.8,0.4165680473,A
Lang,6, 8.7,0,1.28,1.95,2.32,10.82,0.55,1.12,10.25,0.79,0.35,350,58904,260,1051,110029,4819,186893,80057,33,470,10846,50,266950,10896,3580202.85,1193.4,9931,1,1,2,2,3,38,37,1,40,93.3,1,1,1,1,0,0,1,142,1,2,0,1,0,0,0,0,0,0,129,1,0.0092976589,0.9907023411,0.0185953177,0.9959451401,0.2739130435,0.0050728466,A
Lang,7, 8.7,0,1.28,1.95,2.32,10.82,0.55,1.12,10.25,0.79,0.35,350,58904,260,1051,110029,4819,186893,80057,33,470,10846,50,266950,10896,3580202.85,1193.4,9931,1,1,2,4,12,3,2,1,6,97.6,1,1,2,6,3,3,0,166,1,3,0,0,0,1,0,0,0,0,72,1,0.0074016792,0.9925983208,0.0148033584,0.9863013699,0.1975806452,0.0028847906,A
Lang,8, 8.7,0,1.27,1.92,2.3,10.53,0.55,1.13,10.03,0.77,0.35,346,56012,260,1042,105481,4688,176145,75331,33,467,10407,49,251476,10456,3357718.47,1119.24,9482,1,1,2,5,4,4,2,2,13,92.7,1,1,2,3,1,2,0,155,2,3,0,0,0,0,1,0,0,0,98,2,0.1847878788,0.8152121212,0.3695757576,0.9595959596,0.5515151515,0.1955912105,A
Lang,9, 8.7,0,1.27,1.92,2.3,10.53,0.55,1.12,9.99,0.77,0.35,347,56033,261,1047,105508,4688,176124,75339,33,469,10389,49,251463,10438,3356919.82,1118.97,9500,1,3,4,5,20,79,77,2,80,93.3,1,1,1,3,3,0,0,166,2,3,0,0,0,1,0,0,0,0,109,2,0.1686804452,0.8313195548,0.3373608903,0.9674037674,0.5470588235,0.1785404132,A
Lang,10, 8.7,0,1.27,1.92,2.3,10.53,0.55,1.12,9.99,0.77,0.35,347,56037,261,1047,105512,4687,176126,75346,33,469,10387,49,251472,10436,3356970.44,1118.99,9501,0,0,0,0,0,0,0,0,0,92.4,1,1,1,9,0,9,0,164,2,3,0,0,0,0,1,1,0,0,107,2,0.1698327037,0.8301672963,0.3396654074,0.9661909616,0.5470588235,0.1795346655,B
Lang,11, 8.7,0,1.28,1.93,2.55,10.34,0.63,1.13,9.83,0.78,0.35,349,54428,297,1037,103474,4601,174484,74670,33,468,10243,49,249154,10292,3321032.4,1107.01,9456,0,0,0,0,0,0,0,0,0,96.4,1,1,1,4,4,0,0,11,1,2,0,0,0,1,0,0,0,0,5,1,0.3472222222,0.6527777778,0.6944444444,1,0.5833333333,0.4050925926,A
Lang,12, 8.7,0,1.28,1.93,2.55,10.34,0.63,1.13,9.82,0.78,0.35,349,54411,297,1037,103456,4600,174442,74650,33,468,10236,49,249092,10285,3319961.48,1106.65,9451,0,0,0,0,0,0,0,0,0,94.1,1,1,1,7,7,0,0,10,2,5,0,0,0,1,0,0,0,0,3,2,0.35,0.65,0.7,1,0.5,0.35,A
Lang,13, 8.7,0,1.28,1.93,2.56,10.31,0.63,1.13,9.8,0.78,0.35,347,54251,298,1043,103288,4599,174395,74752,33,469,10261,49,249147,10310,3321567.18,1107.19,9469,0,0,0,0,0,0,0,0,0,88.7,1,1,2,19,19,0,0,208,1,3,0,0,0,0,0,0,0,0,34,1,0.2357142857,0.7642857143,0.4714285714,0.9260504202,0.8333333333,0.3638055222,A
Lang,14, 8.4,0,1.28,1.94,2.58,10.4,0.65,1.14,9.98,0.77,0.33,333,53182,292,983,101282,4475,171356,73699,33,448,10057,49,245055,10106,3259948.15,1086.65,9252,0,0,0,0,0,0,0,0,0,97.6,1,1,1,3,3,0,0,834,1,3,0,0,0,1,0,0,0,0,282,1,0.0115295305,0.9884704695,0.0230590611,0.9703781671,0.9028571429,0.0202023399,A
Lang,15, 8.3,0,1.29,1.95,2.58,10.44,0.65,1.15,10.03,0.77,0.33,326,52751,288,974,100452,4424,169772,73160,33,441,10017,49,242932,10066,3230316.09,1076.77,9188,1,4,5,3,23,3,2,1,14,67.1,1,1,1,4,0,0,4,10,2,3,0,0,0,1,0,0,1,0,8,2,0.037398374,0.962601626,0.074796748,0.9555555556,0.0379403794,0.0027116918,A
Lang,16, 8.4,0,1.29,1.95,2.65,10.32,0.7,1.17,10.1,0.78,0.33,338,52634,311,977,101097,4447,170123,73339,35,440,10050,50,243462,10100,3238547.99,1079.52,9279,0,0,0,0,0,0,0,0,0,95.7,1,1,1,1,0,0,1,164,1,3,0,0,0,1,0,0,0,0,72,1,0.0071138809,0.9928861191,0.0142277618,0.9863013699,0.2103004292,0.0029511167,A
Lang,17, 8.7,0,1.3,1.98,2.71,10.29,0.7,1.03,9.95,0.79,0.35,324,49905,299,890,96295,4221,160596,69496,33,424,9710,49,230092,9759,3049298.28,1016.43,8943,1,1,2,2,3,34,33,1,36,93.9,1,1,1,11,2,8,1,45,1,3,0,0,0,1,0,0,0,0,35,1,0.0282051282,0.9717948718,0.0564102564,0.9793650794,0.1423076923,0.0078619642,A
Lang,18, 8.7,0,1.3,1.98,2.71,10.29,0.7,1.03,9.95,0.8,0.35,324,49898,299,890,96291,4220,160575,69486,33,424,9707,49,230061,9756,3048785.4,1016.26,8941,1,5,6,3,55,25,24,1,28,80.7,1,1,1,5,2,2,1,93,1,3,0,0,0,1,0,0,0,0,45,1,0.1597353497,0.8402646503,0.3194706994,0.8144927536,0.347826087,0.0905066329,B
Lang,19, 8.8,0,1.3,1.99,2.73,10.28,0.73,1.08,10.33,0.8,0.35,322,49647,300,893,95949,4198,160217,69572,33,406,9643,49,229789,9692,3042998.91,1014.33,8943,0,0,0,0,0,0,0,0,0,100,1,1,1,9,6,0,3,32,2,2,0,0,0,1,0,0,1,0,20,2,0.4242424242,0.5757575758,0.8484848485,0.8311688312,0.7777777778,0.5485154576,A
Lang,20, 8.8,0,1.3,1.99,2.73,10.28,0.73,1.08,10.33,0.8,0.35,322,49637,300,893,95929,4197,160189,69571,33,406,9633,49,229760,9682,3042272.69,1014.09,8942,2,1,3,0,10,2,1,1,6,97.3,1,1,1,2,0,0,2,585,2,3,0,0,0,0,0,0,0,0,233,2,0.0124822695,0.9875177305,0.024964539,0.9867612293,0.9212121212,0.0226931755,A
Lang,21, 8.3,0,1.3,2,2.75,10.33,0.75,1.11,10.45,0.8,0.35,314,48908,298,893,94520,4119,156766,68292,31,394,9484,49,225058,9533,2974977.46,991.66,8835,0,0,0,0,0,0,0,0,0,95.8,1,1,1,1,0,0,1,116,1,3,0,0,0,0,0,0,0,0,106,1,0.0655737705,0.9344262295,0.131147541,0.967730559,0.8360655738,0.1061096662,A
Lang,22, 8.4,0,1.3,2,2.74,10.33,0.76,1.09,10.57,0.8,0.35,311,48891,297,884,94552,4124,156856,68339,31,390,9474,49,225195,9523,2976447.44,992.15,8846,0,0,0,0,0,0,0,0,0,98.9,1,1,1,7,6,0,1,25,2,2,0,0,0,1,0,0,0,0,23,2,0.1870588235,0.8129411765,0.3741176471,1,0.7647058824,0.2860899654,A
Lang,23, 8.4,0,1.3,2,2.74,10.33,0.76,1.08,10.56,0.8,0.35,311,48816,297,876,94452,4120,156689,68241,31,390,9467,49,224930,9516,2972706.27,990.9,8835,0,0,0,0,0,0,0,0,0,82.2,1,1,2,31,31,0,0,1,1,3,0,0,0,0,0,0,0,1,7,1,0.1129807692,0.8870192308,0.2259615385,0.8571428571,0.0769230769,0.014898563,A
Lang,24, 8.4,0,1.3,2,2.73,10.32,0.76,1.08,10.57,0.8,0.35,310,48725,296,876,94263,4114,156289,68101,31,389,9425,49,224390,9474,2964137.58,988.05,8827,0,0,0,0,0,0,0,0,0,97.9,1,1,1,1,0,0,1,110,1,3,0,0,0,0,0,0,0,0,47,1,0.0086887836,0.9913112164,0.0173775671,1,0.2274881517,0.0039531906,A
Lang,25, 8.3,0,1.3,2,2.74,10.33,0.77,1.09,10.69,0.8,0.35,309,48692,296,876,94225,4107,156204,68062,31,384,9412,49,224266,9461,2962055.3,987.35,8820,0,0,0,0,0,0,0,0,0,100,1,1,1,27,0,0,27,32,1,3,0,0,0,0,0,0,0,0,4,1,0.4333333333,0.5666666667,0.8666666667,0.9,0.4166666667,0.325,A
Lang,26, 7.7,0,1.3,2,2.76,10.44,0.79,1.08,10.76,0.81,0.35,303,47693,294,852,92713,4004,153836,67184,31,372,9250,49,221020,9299,2913675.68,971.23,8681,1,1,2,0,22,31,30,1,35,73.2,1,1,1,1,0,0,1,93,1,3,0,0,0,0,0,0,0,0,44,1,0.200462963,0.799537037,0.4009259259,0.8050505051,0.4375,0.1412099584,A
Lang,27, 7.8,0,1.3,2,2.76,10.44,0.79,1.08,10.8,0.81,0.34,303,47521,293,848,92364,3988,153366,67010,31,369,9209,49,220376,9258,2903781.02,967.93,8664,2,9,11,4,20,3,2,1,3,97.9,1,1,1,4,3,0,1,110,1,3,0,0,0,1,0,0,0,0,47,1,0.0091594828,0.9908405172,0.0183189655,1,0.2112068966,0.0038690919,A
Lang,28, 7.4,0,1.31,2,2.8,10.35,0.86,1.12,11.69,0.8,0.34,284,46092,288,822,89955,3907,149259,65277,29,334,8901,49,214536,8950,2816358.23,938.79,8453,0,0,0,0,0,0,0,0,0,100,1,1,1,6,6,0,0,20,1,2,0,0,0,1,0,0,0,0,18,1,0.3918128655,0.6081871345,0.783625731,0.7894736842,0.7777777778,0.4811736945,A
Lang,29, 7.5,0,1.31,2,2.79,10.35,0.86,1.12,11.72,0.8,0.34,283,46053,288,822,89877,3903,149157,65235,29,333,8887,49,214392,8936,2813983.64,937.99,8446,0,0,0,0,0,0,0,0,0,94.3,1,1,1,1,0,0,1,636,1,3,1,0,0,0,0,0,0,0,212,1,0.0130042794,0.9869957206,0.0260085587,0.9858712021,0.6769911504,0.0173587904,A
Lang,30, 6.4,0,1.31,2,2.81,10.38,0.87,1.15,11.87,0.81,0.32,279,45651,284,820,88565,3859,147647,64687,29,325,8822,49,212334,8871,2784735.14,928.25,8373,2,2,4,3,21,4,2,2,52,98,1,1,6,43,38,0,5,582,10,0,1,0,0,1,0,0,0,0,366,10,0.005393026,0.994606974,0.010786052,0.9948085106,0.7944444444,0.0085244336,A
Lang,31, 6.4,0,1.31,2,2.81,10.37,0.88,1.15,11.82,0.81,0.32,279,45483,286,818,88283,3844,146837,64306,29,325,8800,49,211143,8849,2768358.94,922.79,8351,0,0,0,0,0,0,0,0,0,98,1,1,1,8,8,0,0,571,2,0,0,0,0,1,0,0,0,0,363,2,0.0053576865,0.9946423135,0.0107153729,0.9947312961,0.7944444444,0.0084679172,A
Lang,32, 6.6,0,1.31,2.01,2.82,10.44,0.88,1.14,11.91,0.82,0.32,269,44628,279,792,86400,3752,144167,63375,29,315,8604,49,207542,8653,2714438.63,904.81,8198,1,3,4,9,18,8,7,1,28,92.3,1,1,3,22,14,5,3,45,1,3,0,0,0,1,0,0,0,1,44,1,0.0251486054,0.9748513946,0.0502972108,0.9888888889,0.1275720165,0.006345222,A
Lang,33, 6.6,0,1.31,2.01,2.82,10.44,0.88,1.14,11.91,0.82,0.32,269,44627,279,792,86401,3752,144161,63368,29,315,8604,49,207529,8653,2714268.61,904.76,8197,0,0,0,0,0,0,0,0,0,95.5,1,1,1,1,0,0,1,255,1,3,0,0,0,0,0,0,0,0,82,1,0.0113900982,0.9886099018,0.0227801964,0.9465177784,0.1428571429,0.0030802658,A
Lang,34, 6.6,0,1.31,2.01,2.82,10.44,0.88,1.14,11.91,0.82,0.32,269,44640,279,792,86413,3752,144184,63382,29,315,8605,49,207566,8654,2714787.14,904.93,8197,1,1,2,10,41,111,84,27,222,90.1,1,1,2,2,0,0,2,344,27,3,0,0,0,0,0,0,0,0,125,27,0.1227978419,0.8772021581,0.2455956838,0.9902405019,0.4309623431,0.1048095217,A
Lang,35, 6.6,0,1.31,2.01,2.82,10.36,0.88,1.13,11.73,0.82,0.32,268,43722,278,790,85190,3695,140658,61730,29,315,8508,49,202388,8557,2643772.05,881.26,8051,0,0,0,0,0,0,0,0,0,96.6,1,1,2,2,0,0,2,795,1,3,0,0,0,0,0,0,0,0,228,1,0.0116531503,0.9883468497,0.0233063007,0.9821496974,0.8514285714,0.0194894351,A
Lang,36, 6.7,0,1.32,2.02,2.83,10.44,0.88,1.09,11.78,0.83,0.32,265,43667,275,768,84493,3664,141162,62094,29,311,8438,49,203256,8487,2652701.97,884.23,8045,1,1,2,5,14,1,0,1,22,98.1,1,1,1,9,8,0,1,110,2,2,0,0,0,1,0,0,0,0,48,2,0.0102283105,0.9897716895,0.020456621,0.9991836735,0.2237442922,0.0045733158,A
