 CBO, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode,Priority,AddsMethodCall, TotalPassTest, MatrixDensity, MatrixSparsity, ActiveMatrixDensity, MatrixDiversity, MatrixUniqueness, MatrixDDU, Class6
0,0,0,2,0,80,0.0147171654,0.9852828346,0.0294343308,0.999691358,0.5141242938,0.0151282339,A
0,5,4,5,0,18,0.0651629073,0.9348370927,0.1303258145,0.9649122807,0.4047619048,0.0509000153,A
0,3,2,3,0,202,0.06604426,0.93395574,0.1320885201,0.9969574037,0.7219917012,0.0950766526,A
0,0,0,2,0,62,0.1877394636,0.8122605364,0.3754789272,0.986687148,0.9310344828,0.344929871,A
0,0,0,3,0,24,0.1858823529,0.8141176471,0.3717647059,1,0.7647058824,0.2842906574,A
0,1,0,3,1,18,0.2697916667,0.7302083333,0.5395833333,0.9842105263,0.3958333333,0.2102126736,A
0,0,0,3,0,51,0.0327442827,0.9672557173,0.0654885655,0.9653092006,1,0.0632167148,A
0,0,0,2,0,13,0.0808270677,0.9191729323,0.1616541353,0.9340659341,0.3157894737,0.0476828277,A
0,0,0,3,0,19,0.0866666667,0.9133333333,0.1733333333,1,0.8333333333,0.1444444444,A
0,0,0,3,0,11,0.3425925926,0.6574074074,0.6851851852,0.8787878788,0.7777777778,0.4683252276,A
0,0,0,3,0,5,0.5,0.5,1,1,0.75,0.75,A
0,0,0,3,0,17,0.2053734062,0.7946265938,0.4107468124,0.9803921569,0.262295082,0.1056243812,A
0,0,0,3,0,17,0.04,0.96,0.08,0,0.08,0,A
0,0,0,3,0,70,0.0080377553,0.9919622447,0.0160755107,0.9674044266,0.2827225131,0.0043967649,A
0,0,0,3,0,181,0.0730995808,0.9269004192,0.1461991617,0.9957501062,0.7113402062,0.1035553641,A
0,0,0,3,0,182,0.0767533965,0.9232466035,0.153506793,0.9962168979,0.7155963303,0.1094333281,A
0,0,0,3,0,180,0.0769482811,0.9230517189,0.1538965622,0.9961750956,0.7155963303,0.1097065868,A
0,0,0,2,0,28,0.2441942294,0.7558057706,0.4883884588,0.9975369458,0.5306122449,0.2585066086,A
1,3,2,3,1,11,0.0655136268,0.9344863732,0.1310272537,0.9393939394,0.0943396226,0.0116119064,A
0,0,0,3,0,66,0.0225117506,0.9774882494,0.0450235013,0.960651289,0.1270718232,0.0054960958,A
0,0,0,3,0,18,0.0859649123,0.9140350877,0.1719298246,1,0.8,0.1375438596,A
3,7,6,2,0,303,0.0451055792,0.9548944208,0.0902111583,0.993377912,0.4732510288,0.0424098098,A
9,7,6,3,0,15,0.1260245902,0.8739754098,0.2520491803,0.9916666667,0.0901639344,0.0225363646,A
11,7,6,3,0,50,0.1691405609,0.8308594391,0.3382811219,0.9939668175,0.1641791045,0.0552036166,A
2,6,5,2,0,240,0.0746172557,0.9253827443,0.1492345114,0.9252074689,0.8103448276,0.1118866478,A
46,143,142,4,1,167,0.2119478711,0.7880521289,0.4238957421,0.9628599943,0.286908078,0.1171021781,D
7,1,0,3,1,21,0.0842424242,0.9157575758,0.1684848485,0.9567099567,0.0888888889,0.0143281006,A
10,1,0,3,1,34,0.0954081633,0.9045918367,0.1908163265,0.9798319328,0.1339285714,0.0250403478,A
9,3,2,2,1,350,0.090039241,0.909960759,0.180078482,0.9888481888,0.5754716981,0.1024744068,A
26,3,2,4,0,9,0.0881889764,0.9118110236,0.1763779528,0.9777777778,0.0137795276,0.0023763959,A
0,0,0,4,0,653,0.0481716756,0.9518283244,0.0963433512,0.9894619252,0.4458204334,0.0424992049,C
36,84,83,4,0,87,0.1255026413,0.8744973587,0.2510052827,0.9916405434,0.0823937554,0.0205083837,B
2,87,86,4,1,91,0.1234962829,0.8765037171,0.2469925659,0.9861442905,0.089119171,0.021706784,B
0,27,26,3,0,80,0.3132306348,0.6867693652,0.6264612695,0.9166666667,0.5840707965,0.3354062549,A
85,16,15,3,0,23,0.1218402427,0.8781597573,0.2436804853,0.7572463768,0.0171890799,0.003171835,A
12,4,2,3,0,22,0.0343444909,0.9656555091,0.0686889819,0.9456521739,0.0376569038,0.0024460375,A
0,0,0,3,0,85,0.0613914897,0.9386085103,0.1227829794,0.9569633788,0.2450331126,0.0287911003,B
19,17,16,3,0,16,0.1267927666,0.8732072334,0.2535855332,1,0.0777385159,0.019713363,A
18,16,15,3,0,15,0.1185954064,0.8814045936,0.2371908127,1,0.0777385159,0.0184388618,A
11,5,4,3,0,6,0.187012987,0.812987013,0.374025974,0.7142857143,0.1454545455,0.0388598415,A
0,0,0,3,0,208,0.0594633256,0.9405366744,0.1189266512,0.9832075819,0.3041237113,0.0355610594,A
1,2,1,3,0,208,0.0599643272,0.9400356728,0.1199286543,0.9831615753,0.3372781065,0.0397682068,A
34,24,23,3,0,25,0.1023854195,0.8976145805,0.2047708389,0.9723076923,0.0243902439,0.0048561039,A
6,2,1,2,0,2,0.0941558442,0.9058441558,0.1883116883,1,0.0194805195,0.0036684095,A
8,108,106,3,0,309,0.0437868859,0.9562131141,0.0875737718,0.992220724,0.235443038,0.0204582368,B
54,7,6,3,0,22,0.2978296684,0.7021703316,0.5956593367,1,0.0807248764,0.0480845264,A
61,22,21,3,0,27,0.1046481092,0.8953518908,0.2092962185,0.9576719577,0.0343137255,0.0068777443,A
0,0,0,3,0,23,0.1527777778,0.8472222222,0.3055555556,0.9746376812,0.4545454545,0.1353663446,A
0,0,0,3,1,8,0.1169154229,0.8830845771,0.2338308458,0.9242424242,0.1492537313,0.0322561773,A
0,0,0,3,0,82,0.0619288119,0.9380711881,0.1238576239,0.9776247849,0.5454545455,0.0660470634,A
7,4,2,3,0,283,0.0554461445,0.9445538555,0.110892289,0.9681537974,0.4855072464,0.0521244419,A
27,14,13,3,0,16,0.0765056022,0.9234943978,0.1530112045,0.5955882353,0.0193452381,0.0017629639,A
19,62,61,3,0,68,0.3155570652,0.6844429348,0.6311141304,0.9936061381,0.296875,0.1861640407,A
15,27,26,3,0,88,0.11452234,0.88547766,0.2290446801,0.9599080695,0.2253521127,0.0495463294,A
0,0,0,3,0,220,0.0857097759,0.9142902241,0.1714195517,0.9916495269,0.4476744186,0.0760993316,B
57,19,18,3,0,26,0.0985212654,0.9014787346,0.1970425308,0.9544159544,0.0346106304,0.0065088937,A
18,50,44,2,0,72,0.125041625,0.874958375,0.2500832501,0.9913419913,0.2954545455,0.073248508,A
41,137,136,3,0,161,0.202587519,0.797412481,0.4051750381,0.960049076,0.2657534247,0.1033748721,D
2,31,30,2,0,432,0.0397649909,0.9602350091,0.0795299817,0.9881532803,0.4885993485,0.0383979539,A
7,17,15,2,0,188,0.0314560721,0.9685439279,0.0629121442,0.9443052075,0.2451361868,0.0145631156,A
9,17,15,2,0,188,0.0315584682,0.9684415318,0.0631169363,0.9443052075,0.2451361868,0.0146105216,A
14,32,31,3,0,35,0.1092013889,0.8907986111,0.2184027778,0.953968254,0.08125,0.016928382,A
22,2,1,3,0,34,0.0513533835,0.9486466165,0.1027067669,0.9831932773,0.1447368421,0.0146156136,A
14,32,31,3,0,35,0.1085779175,0.8914220825,0.2171558351,0.953968254,0.072327044,0.014983254,A
14,32,31,3,0,35,0.1167800454,0.8832199546,0.2335600907,0.953968254,0.0816326531,0.0181884826,A
12,2,1,3,0,27,0.0752201566,0.9247798434,0.1504403131,0.9947089947,0.154109589,0.0230616266,A
1,20,19,3,0,166,0.0316299916,0.9683700084,0.0632599831,0.9264122358,0.245398773,0.0143815515,A
0,20,19,2,0,62,0.20995281,0.79004719,0.4199056199,0.9984639017,0.4972972973,0.208497165,A
0,4,3,3,0,87,0.0696548822,0.9303451178,0.1393097643,0.9333855799,0.2777777778,0.0361193681,A
0,0,0,2,0,4,0.05,0.95,0.1,1,0.0375,0.00375,A
8,4,3,2,0,3,0.082,0.918,0.164,1,0.024,0.003936,A
12,8,7,3,0,7,0.2454637097,0.7545362903,0.4909274194,0.9285714286,0.0443548387,0.0202196489,A
5,8,7,2,0,25,0.0958579882,0.9041420118,0.1917159763,0.9876923077,0.1487179487,0.0281606947,A
4,12,11,2,0,11,0.0730633803,0.9269366197,0.1461267606,1,0.0633802817,0.0092615552,A
14,2,1,3,1,1,0.1975308642,0.8024691358,0.3950617284,1,0.0164609053,0.0065030737,A
12,51,49,3,1,52,0.1488696489,0.8511303511,0.2977392977,0.8721174004,0.1363636364,0.0354086758,A
0,0,0,3,0,74,0.0500995025,0.9499004975,0.100199005,0.9300900901,0.0615671642,0.0057376966,B
13,10,6,3,1,6,0.053724605,0.946275395,0.1074492099,0.9777777778,0.0316027088,0.0033202264,A
19,1,0,1,0,1,0.1727272727,0.8272727273,0.3454545455,1,0.0242424242,0.0083746556,A
11,43,41,3,1,42,0.1738816739,0.8261183261,0.3477633478,0.8625792812,0.1666666667,0.0499955764,A
17,7,5,3,0,13,0.0723700887,0.9276299113,0.1447401774,0.9428571429,0.0342205323,0.0046700524,A
5,1,0,2,0,15,0.096875,0.903125,0.19375,0.975,0.3166666667,0.0598203125,A
18,48,47,4,1,112,0.3145429363,0.6854570637,0.6290858726,0.9832324173,0.3473684211,0.2148604375,B
12,3,2,4,0,151,0.1577706058,0.8422293942,0.3155412115,0.7052980132,0.3773584906,0.0839813546,A
11,2,1,4,0,165,0.0735277559,0.9264722441,0.1470555118,0.7483023001,0.1962616822,0.0215970237,A
22,53,52,3,0,55,0.1032713899,0.8967286101,0.2065427797,0.9915584416,0.0894308943,0.0183153789,C
0,1,0,2,1,7,0.3541666667,0.6458333333,0.7083333333,1,0.5555555556,0.3935185185,A
26,11,9,3,0,15,0.0790630685,0.9209369315,0.1581261371,0.9926470588,0.0347938144,0.005461357,A
22,1,0,3,0,344,0.0230343921,0.9769656079,0.0460687842,0.9923598894,0.2497212932,0.0114164618,A
15,88,87,3,0,115,0.2547248011,0.7452751989,0.5094496021,0.9233883058,0.3076923077,0.1447445554,A
0,0,0,3,0,35,0.0790732047,0.9209267953,0.1581464093,0.9936507937,0.0719874804,0.0113122786,B
0,0,0,3,0,34,0.0781578359,0.9218421641,0.1563156718,0.9932773109,0.06885759,0.0106911606,A
29,14,13,3,0,13,0.1418022905,0.8581977095,0.2836045811,0.9450549451,0.0316455696,0.0084817061,A
51,11,10,3,1,16,0.1310498883,0.8689501117,0.2620997766,0.9632352941,0.0464135021,0.011717727,A
16,4,2,5,0,3,0.3641791045,0.6358208955,0.728358209,1,0.1492537313,0.1087101804,A
3,18,17,3,0,91,0.0840961098,0.9159038902,0.1681922197,0.9543717152,0.4298245614,0.0689945348,A
8,12,10,2,0,10,0.0840192044,0.9159807956,0.1680384088,0.9848484848,0.0658436214,0.0108966171,A
45,15,14,3,0,15,0.1288728632,0.8711271368,0.2577457265,0.975,0.0491452991,0.0123503161,A
51,9,8,3,0,14,0.1283475783,0.8716524217,0.2566951567,0.9714285714,0.0491452991,0.0122549214,A
0,0,0,3,0,6,0.4619047619,0.5380952381,0.9238095238,1,0.5666666667,0.5234920635,A
0,0,0,3,1,6,0.4729064039,0.5270935961,0.9458128079,1,0.5862068966,0.5544419908,A
1,1,0,3,0,55,0.0797342193,0.9202657807,0.1594684385,0.9525974026,0.3604651163,0.0547579748,A
0,4,3,3,0,196,0.0397827883,0.9602172117,0.0795655767,0.9254117891,0.8139534884,0.0599321463,A
0,2,1,2,0,195,0.039155197,0.960844803,0.0783103939,0.9245944532,0.8139534884,0.058934592,A
0,0,0,2,0,195,0.039155197,0.960844803,0.0783103939,0.9245944532,0.8139534884,0.058934592,A
9,3,2,2,0,21,0.1325042882,0.8674957118,0.2650085763,0.9177489177,0.1320754717,0.0321222517,A
1,38,37,2,0,147,0.1908201305,0.8091798695,0.381640261,0.9253539254,1,0.3531523135,A
7,32,31,2,0,58,0.122697126,0.877302874,0.245394252,0.8573933372,0.3695652174,0.0777562988,A
0,3,2,3,0,111,0.0992585506,0.9007414494,0.1985171012,0.983091024,0.7387387387,0.1441725332,A
0,1,0,2,0,275,0.0299638989,0.9700361011,0.0599277978,0.9354104536,0.575,0.0322328259,A
19,3,2,4,0,47,0.1973684211,0.8026315789,0.3947368421,0.7118794326,0.2192982456,0.0616239121,A
0,26,24,3,0,68,0.4836734694,0.5163265306,0.9673469388,0.8314699793,0.4285714286,0.3447085454,A
4,6,0,3,0,24,0.1239852399,0.8760147601,0.2479704797,1,0.1439114391,0.0356857886,B
4,8,7,2,0,19,0.1842105263,0.8157894737,0.3684210526,0.9157894737,0.2280701754,0.0769499927,A
0,0,0,3,0,8,0.4343434343,0.5656565657,0.8686868687,0.9166666667,0.5454545455,0.4343434343,A
8,8,7,3,0,15,0.3338414634,0.6661585366,0.6676829268,0.9083333333,0.2195121951,0.1331294616,A
3,7,6,0,0,3822,0.0555941003,0.9444058997,0.1111882006,0.9981176478,0.6626394052,0.0735389957,A
24,31,30,0,0,3924,0.1863013682,0.8136986318,0.3726027365,0.9988555255,0.5848946136,0.2176839144,F
48,3,2,0,0,1302,0.0551071401,0.9448928599,0.1102142802,0.999350886,0.4781771502,0.0526677408,B
24,28,27,0,0,763,0.0385867193,0.9614132807,0.0771734386,0.9993412611,0.325207216,0.0250808265,A
30,21,18,0,0,1821,0.0520238016,0.9479761984,0.1040476032,0.998113169,0.4646464646,0.0482541315,A
11,31,27,0,0,2512,0.0450569204,0.9549430796,0.0901138409,0.9985090257,0.5355297158,0.0481866872,A
14,25,23,0,0,2678,0.0432172128,0.9567827872,0.0864344256,0.9993275504,0.6359875905,0.0549342567,A
13,21,20,0,0,3776,0.0471485753,0.9528514247,0.0942971505,0.9974837946,0.582278481,0.0547690438,A
14,21,20,0,0,3776,0.0471534162,0.9528465838,0.0943068323,0.9974843556,0.582278481,0.0547746979,A
0,0,0,0,0,369,0.0243665161,0.9756334839,0.0487330322,0.9838274933,0.2122747748,0.0101774922,F
0,0,0,0,0,7,0.1147357724,0.8852642276,0.2294715447,0.8928571429,0.025203252,0.005163776,A
84,10,8,0,0,1585,0.041684601,0.958315399,0.083369202,0.9993454403,0.4824409902,0.0401943935,A
28,86,85,4,0,864,0.0512509275,0.9487490725,0.102501855,0.9959377007,0.376633359,0.0384487904,F
0,0,0,2,0,3734,0.0384456983,0.9615543017,0.0768913966,0.9990989242,0.6972236773,0.0535621952,F
0,0,0,2,0,2118,0.0798624688,0.9201375312,0.1597249376,0.9406360279,0.6,0.0901458185,A
0,0,0,2,0,2585,0.043695739,0.956304261,0.087391478,0.9993341148,0.630977131,0.0551053058,F
0,0,0,2,0,3719,0.0521306004,0.9478693996,0.1042612007,0.9989493071,0.6891666667,0.0717778484,F
0,0,0,4,0,2406,0.0508759175,0.9491240825,0.1017518349,0.9983758234,0.5212121212,0.0529481527,D
7,736,735,2,0,3715,0.0452815935,0.9547184065,0.0905631871,0.9991203149,0.703777336,0.0636802507,F
7,9,8,2,0,2570,0.0530788368,0.9469211632,0.1061576737,0.9992626527,0.6102598268,0.0647359954,A
3,26,24,2,0,3701,0.0577323436,0.9422676564,0.1154646873,0.9986609774,0.6414342629,0.0739638345,A
14,50,48,2,1,1754,0.0487661352,0.9512338648,0.0975322703,0.9987539669,0.4746031746,0.0462314473,A
0,0,0,2,0,3399,0.072044722,0.927955278,0.144089444,0.9903312393,0.5410958904,0.0772123694,B
19,276,269,2,0,1031,0.0474674716,0.9525325284,0.0949349432,0.9994723181,0.4271235521,0.0405275532,F
4,724,721,2,0,3652,0.042674437,0.957325563,0.0853488741,0.9990743798,0.7028301887,0.0599302412,C
0,0,0,2,0,3681,0.0386610105,0.9613389895,0.0773220211,0.9992107332,0.7105263158,0.054895969,F
21,78,77,1,0,631,0.0418005835,0.9581994165,0.0836011669,0.9956568838,0.3268229167,0.0272041112,E
88,99,91,0,0,365,0.1971203861,0.8028796139,0.3942407723,0.9997982069,0.2025382476,0.0798327222,A
49,17,16,0,1,6744,0.1765263828,0.8234736172,0.3530527655,0.9999418751,0.4793878055,0.1692393529,A
52,72,69,0,1,354,0.2341469251,0.7658530749,0.4682938502,0.9997796872,0.2083142988,0.097530813,B
19,335,332,0,1,6873,0.1701106502,0.8298893498,0.3402213003,0.9999395843,0.5127957508,0.1744534968,C
77,57,56,0,1,312,0.2337385543,0.7662614457,0.4674771086,0.9997337593,0.2156503533,0.1007847635,B
56,1554,1551,0,0,6660,0.1710301387,0.8289698613,0.3420602774,0.9999436346,0.4774927396,0.1633220927,E
0,0,0,0,1,6626,0.175979336,0.824020664,0.3519586719,0.9999386664,0.4835612453,0.1701831351,F
23,58,57,0,1,280,0.2451478367,0.7548521633,0.4902956734,0.999694967,0.2133766585,0.1045857406,B
0,0,0,0,1,115,0.2713867156,0.7286132844,0.5427734312,0.9970014993,0.2250233427,0.1217704648,A
41,30,29,0,1,6506,0.1750762944,0.8249237056,0.3501525888,0.9999440173,0.4739946381,0.1659611581,B
158,2263,2261,0,0,6574,0.1743921792,0.8256078208,0.3487843584,0.9999427345,0.472029703,0.1646271491,F
0,0,0,0,1,349,0.2388311085,0.7611688915,0.4776622169,0.999738027,0.2078103208,0.0992371343,F
0,0,0,0,0,606,0.1707744513,0.8292255487,0.3415489025,0.9995867791,0.2468402911,0.0842731927,F
113,3008,3005,0,0,3332,0.2177902692,0.7822097308,0.4355805384,0.9999316479,0.4004178273,0.1744022912,F
0,0,0,0,1,332,0.2368921054,0.7631078946,0.4737842108,0.9997829154,0.2068720379,0.0979914282,F
3,18,16,0,1,388,0.2383006231,0.7616993769,0.4766012463,0.9995913256,0.2209478468,0.1052609841,A
179,2487,2486,0,1,6528,0.1744277021,0.8255722979,0.3488554043,0.9999398423,0.4698221888,0.1638901498,F
116,3937,3936,0,0,6532,0.1694706218,0.8305293782,0.3389412435,0.9999482584,0.471609573,0.1598396643,F
17,454,453,0,0,6526,0.1726563388,0.8273436612,0.3453126776,0.9999405567,0.4717741935,0.1628999261,C
34,130,129,0,1,368,0.2201786664,0.7798213336,0.4403573328,0.9997496171,0.235246996,0.1035668019,B
48,374,373,0,1,6520,0.1739712537,0.8260287463,0.3479425073,0.9999452924,0.4748763343,0.1652206231,C
49,374,373,0,1,6520,0.1739592363,0.8260407637,0.3479184727,0.9999453394,0.4748763343,0.165209218,C
0,0,0,0,1,371,0.2171088196,0.7828911804,0.4342176391,0.9997826276,0.231147541,0.1003465222,F
60,45,44,0,1,379,0.2365006709,0.7634993291,0.4730013419,0.9988890432,0.228611898,0.1080136026,A
95,531,530,0,1,2892,0.2379002132,0.7620997868,0.4758004265,0.9999156164,0.380805748,0.1811722481,B
54,9,2,0,1,6474,0.1410842789,0.8589157211,0.2821685577,0.9999534727,0.4639057751,0.1308935331,A
15,1,0,0,1,6846,0.2784223059,0.7215776941,0.5568446118,0.9984343082,0.7339449541,0.4080534053,A
0,0,0,0,1,669,0.1944909601,0.8055090399,0.3889819202,0.9997419757,0.2475197151,0.0962558513,F
108,51,46,0,1,286,0.2104457856,0.7895542144,0.4208915711,0.9997156061,0.1963146704,0.0826036914,C
57,69,66,0,1,334,0.2242687069,0.7757312931,0.4485374137,0.9995584287,0.2098795181,0.0940972472,B
113,3842,3841,0,0,6427,0.164441861,0.835558139,0.3288837219,0.9999437946,0.4504504505,0.1481374941,F
76,221,217,0,1,5071,0.1776250101,0.8223749899,0.3552500201,0.9999189144,0.4409221902,0.1566249159,A
128,260,259,0,1,7211,0.1605804326,0.8394195674,0.3211608652,0.9999390452,0.5242940728,0.1683724743,C
14,3661,3660,0,1,4006,0.260666731,0.739333269,0.521333462,0.9998274363,0.595084088,0.3101837121,A
169,1049,1048,0,1,2817,0.2411011039,0.7588988961,0.4822022078,0.9999062772,0.3703327407,0.1785585286,F
0,0,0,0,1,383,0.1838560693,0.8161439307,0.3677121385,0.999687228,0.201826484,0.074190836,F
0,0,0,0,1,6534,0.1672319243,0.8327680757,0.3344638486,0.9999401401,0.4690962817,0.156886356,F
13,1665,1664,0,0,3998,0.1671972464,0.8328027536,0.3343944928,0.9998911684,0.4052757794,0.1355072396,A
