%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%

@relation 'allfeatures.names'
@attribute ABSTR real
@attribute AFFC real
@attribute ABKD real
@attribute ACYC real
@attribute ADIH real
@attribute ALOCPM real
@attribute ANOCPT real
@attribute ANOFPT real
@attribute ANOMPT real
@attribute ANOPR real
@attribute ANSBT real
@attribute EFFC real
@attribute LOC real
@attribute NOC real
@attribute NOF real
@attribute NOM real
@attribute NOP real
@attribute NOPT real
@attribute NOPK real
@attribute NOT real
@attribute NOUOP real
@attribute NOUOPT real
@attribute PRL real
@attribute PRVOC real
@attribute PRV real
@attribute NDB real
@attribute WM real
@attribute InDeg real
@attribute OutDeg real
@attribute DegCtrl real
@attribute CBO real
@attribute RFC real
@attribute StatementCoverage real
@attribute MSIGCH real
@attribute MCARGCH real
@attribute AMCAL real
@attribute CHCOND real
@attribute AV real
@attribute AIF real
@attribute AL real
@attribute AM real
@attribute TPT real
@attribute TFT real
@attribute MATD real
@attribute MATSP real
@attribute class {A, B, C, D, E, F}
@data
12.5,0,1.18,2.03,3.28,10.5,1.17,1.89,9.38,0.96,0.67,915,126356,1167,2787,9279,312003,142573,95,989,11896,43,454576,11939,6156502.04,2052.17,21221,0,0,0,0,0,63.3,0,1,0,0,0,0,0,0,136,1,0.219971494,0.780028506,B
12.5,0,1.18,2.03,3.28,10.5,1.18,1.89,9.38,0.96,0.67,914,126287,1166,2786,9272,311715,142439,95,988,11894,43,454154,11937,6150676.96,2050.23,21207,0,0,0,0,0,73.5,0,0,0,1,0,0,0,0,486,4,0.0572328286,0.9427671714,C
12.5,0,1.18,2.03,3.28,10.52,1.18,1.89,9.35,0.96,0.68,913,126038,1165,2781,9237,311662,142494,95,987,11881,43,454156,11924,6149990.1,2050,21128,1,4,5,16,18,79.7,0,0,0,1,0,0,0,0,196,1,0.0674812915,0.9325187085,A
12.5,0,1.18,2.03,3.28,10.51,1.18,1.89,9.35,0.96,0.68,913,125994,1165,2781,9235,311527,142448,95,987,11880,43,453975,11923,6147484.15,2049.16,21124,0,0,0,0,0,73.7,0,0,0,1,0,0,0,0,13,8,0.1904761905,0.8095238095,A
12.6,0,1.18,2.03,3.28,10.52,1.17,1.88,9.29,0.96,0.68,910,125055,1161,2765,9149,309302,141395,95,984,11825,43,450697,11868,6100088.89,2033.36,20971,0,0,0,0,0,75.6,0,0,0,0,0,0,0,0,46,1,0.0989940354,0.9010059646,A
12.6,0,1.18,2.03,3.28,10.52,1.17,1.88,9.29,0.96,0.68,910,125014,1161,2765,9147,309194,141339,95,984,11821,43,450533,11864,6097650.08,2032.55,20965,0,0,0,0,0,87.1,0,0,0,1,0,0,0,0,237,4,0.1765993343,0.8234006657,B
12.6,0,1.18,2.03,3.28,10.51,1.18,1.88,9.26,0.96,0.68,907,124336,1159,2756,9098,307223,140409,95,982,11794,43,447632,11837,6056915.69,2018.97,20855,0,0,0,0,0,76.7,0,0,0,1,0,0,0,0,359,2,0.086723719,0.913276281,C
12.3,0,1.18,2.04,3.28,10.55,1.18,1.85,9.19,0.98,0.66,873,119411,1117,2655,8693,295016,134613,92,945,11564,43,429629,11607,5801154.72,1933.72,20092,1,1,2,3,3,86.4,0,1,0,0,0,0,0,0,282,1,0.1136631331,0.8863368669,A
12.3,0,1.18,2.04,3.28,10.55,1.18,1.85,9.17,0.98,0.66,873,119158,1117,2653,8672,294329,134280,92,945,11555,43,428609,11598,5786902.31,1928.97,20039,1,8,9,13,12,84.3,0,0,0,1,0,0,1,0,12,1,0.2599067599,0.7400932401,A
12.3,0,1.18,2.04,3.28,10.55,1.18,1.85,9.17,0.98,0.66,873,119109,1117,2653,8670,294099,134190,92,945,11553,43,428289,11596,5782475.24,1927.49,20029,2,1,3,30,16,80.6,0,0,0,1,0,1,1,1,31,6,0.3495085995,0.6504914005,A
12.3,0,1.18,2.04,3.28,10.51,1.18,1.84,9.14,0.98,0.66,873,118378,1116,2639,8641,292298,133329,92,945,11519,43,425627,11562,5744731.61,1914.91,19924,0,0,0,0,0,43.8,0,0,0,0,0,0,0,0,4,1,0.0976683938,0.9023316062,A
12.3,0,1.18,2.04,3.28,10.5,1.18,1.84,9.13,0.98,0.66,873,118185,1116,2637,8631,291749,133066,92,945,11514,43,424815,11557,5733506.86,1911.17,19903,0,0,0,0,0,96,0,0,0,1,0,0,0,0,9,1,0.4428571429,0.5571428571,A
12.3,0,1.18,2.04,3.28,10.5,1.18,1.84,9.11,0.98,0.66,873,117988,1115,2635,8609,291096,132856,92,944,11500,43,423952,11543,5721118.02,1907.04,19862,1,15,16,37,19,69.4,0,0,0,1,0,0,0,0,5,4,0.1756174525,0.8243825475,A
12.5,0,1.18,2.03,3.28,10.45,1.17,1.83,9.08,0.97,0.66,866,115960,1097,2606,8499,285629,130417,92,936,11368,43,416046,11411,5607525.23,1869.18,19555,4,12,16,107,63,89.9,0,0,0,1,0,0,0,0,517,22,0.0320207574,0.9679792426,A
8.6,0,1.28,1.96,2.33,10.84,0.55,1.11,10.32,0.8,0.35,351,59736,261,1055,4883,189621,81141,33,473,11096,50,270762,11146,3640188.88,1213.4,10076,1,2,3,1,5,98.1,0,0,0,1,0,0,1,0,78,1,0.0098993833,0.9901006167,A
8.6,0,1.28,1.96,1,10.83,0.55,1.11,10.3,0.8,0,351,59595,261,1055,4876,189107,80929,33,473,11042,50,270036,11092,3628536.35,1209.51,10054,0,0,0,0,0,100,0,0,0,1,0,0,0,0,13,1,0.3071428571,0.6928571429,A
8.6,0,1.28,1.95,2.33,10.83,0.55,1.11,10.29,0.8,0.35,351,59514,261,1055,4871,188898,80825,33,473,11034,50,269723,11084,3624049.74,1208.02,10034,1,3,4,1,7,98.1,0,0,0,1,0,0,0,0,77,1,0.0097523559,0.9902476441,A
8.6,0,1.28,1.96,2.33,10.82,0.55,1.11,10.28,0.8,0.35,351,59464,261,1055,4867,188736,80749,33,473,11022,50,269485,11072,3620430.78,1206.81,10030,0,0,0,0,0,100,0,0,0,0,0,0,0,0,29,1,0.4703703704,0.5296296296,A
8.6,0,1.28,1.95,2.33,10.82,0.55,1.11,10.23,0.79,0.35,351,59141,261,1051,4841,187503,80312,33,473,10894,50,267815,10944,3593502.17,1197.83,9971,0,0,0,0,0,100,0,0,0,1,0,0,0,0,12,1,0.3076923077,0.6923076923,A
8.7,0,1.28,1.95,2.32,10.82,0.55,1.12,10.25,0.79,0.35,350,58904,260,1051,4819,186893,80057,33,470,10846,50,266950,10896,3580202.85,1193.4,9931,1,1,2,2,3,93.3,0,1,0,0,0,0,0,0,129,1,0.0092976589,0.9907023411,A
8.7,0,1.28,1.95,2.32,10.82,0.55,1.12,10.25,0.79,0.35,350,58904,260,1051,4819,186893,80057,33,470,10846,50,266950,10896,3580202.85,1193.4,9931,1,1,2,4,12,97.6,0,0,0,1,0,0,0,0,72,1,0.0074016792,0.9925983208,A
8.7,0,1.27,1.92,2.3,10.53,0.55,1.13,10.03,0.77,0.35,346,56012,260,1042,4688,176145,75331,33,467,10407,49,251476,10456,3357718.47,1119.24,9482,1,1,2,5,4,92.7,0,0,0,0,1,0,0,0,98,2,0.1847878788,0.8152121212,A
8.7,0,1.27,1.92,2.3,10.53,0.55,1.12,9.99,0.77,0.35,347,56033,261,1047,4688,176124,75339,33,469,10389,49,251463,10438,3356919.82,1118.97,9500,1,3,4,5,20,93.3,0,0,0,1,0,0,0,0,109,2,0.1686804452,0.8313195548,A
8.7,0,1.27,1.92,2.3,10.53,0.55,1.12,9.99,0.77,0.35,347,56037,261,1047,4687,176126,75346,33,469,10387,49,251472,10436,3356970.44,1118.99,9501,0,0,0,0,0,92.4,0,0,0,0,1,1,0,0,107,2,0.1698327037,0.8301672963,B
8.7,0,1.28,1.93,2.55,10.34,0.63,1.13,9.83,0.78,0.35,349,54428,297,1037,4601,174484,74670,33,468,10243,49,249154,10292,3321032.4,1107.01,9456,0,0,0,0,0,96.4,0,0,0,1,0,0,0,0,5,1,0.3472222222,0.6527777778,A
8.7,0,1.28,1.93,2.55,10.34,0.63,1.13,9.82,0.78,0.35,349,54411,297,1037,4600,174442,74650,33,468,10236,49,249092,10285,3319961.48,1106.65,9451,0,0,0,0,0,94.1,0,0,0,1,0,0,0,0,3,2,0.35,0.65,A
8.7,0,1.28,1.93,2.56,10.31,0.63,1.13,9.8,0.78,0.35,347,54251,298,1043,4599,174395,74752,33,469,10261,49,249147,10310,3321567.18,1107.19,9469,0,0,0,0,0,88.7,0,0,0,0,0,0,0,0,34,1,0.2357142857,0.7642857143,A
8.4,0,1.28,1.94,2.58,10.4,0.65,1.14,9.98,0.77,0.33,333,53182,292,983,4475,171356,73699,33,448,10057,49,245055,10106,3259948.15,1086.65,9252,0,0,0,0,0,97.6,0,0,0,1,0,0,0,0,282,1,0.0115295305,0.9884704695,A
8.3,0,1.29,1.95,2.58,10.44,0.65,1.15,10.03,0.77,0.33,326,52751,288,974,4424,169772,73160,33,441,10017,49,242932,10066,3230316.09,1076.77,9188,1,4,5,3,23,67.1,0,0,0,1,0,0,1,0,8,2,0.037398374,0.962601626,A
8.4,0,1.29,1.95,2.65,10.32,0.7,1.17,10.1,0.78,0.33,338,52634,311,977,4447,170123,73339,35,440,10050,50,243462,10100,3238547.99,1079.52,9279,0,0,0,0,0,95.7,0,0,0,1,0,0,0,0,72,1,0.0071138809,0.9928861191,A
8.7,0,1.3,1.98,2.71,10.29,0.7,1.03,9.95,0.79,0.35,324,49905,299,890,4221,160596,69496,33,424,9710,49,230092,9759,3049298.28,1016.43,8943,1,1,2,2,3,93.9,0,0,0,1,0,0,0,0,35,1,0.0282051282,0.9717948718,A
8.7,0,1.3,1.98,2.71,10.29,0.7,1.03,9.95,0.8,0.35,324,49898,299,890,4220,160575,69486,33,424,9707,49,230061,9756,3048785.4,1016.26,8941,1,5,6,3,55,80.7,0,0,0,1,0,0,0,0,45,1,0.1597353497,0.8402646503,B
8.8,0,1.3,1.99,2.73,10.28,0.73,1.08,10.33,0.8,0.35,322,49647,300,893,4198,160217,69572,33,406,9643,49,229789,9692,3042998.91,1014.33,8943,0,0,0,0,0,100,0,0,0,1,0,0,1,0,20,2,0.4242424242,0.5757575758,A
8.8,0,1.3,1.99,2.73,10.28,0.73,1.08,10.33,0.8,0.35,322,49637,300,893,4197,160189,69571,33,406,9633,49,229760,9682,3042272.69,1014.09,8942,2,1,3,0,10,97.3,0,0,0,0,0,0,0,0,233,2,0.0124822695,0.9875177305,A
8.3,0,1.3,2,2.75,10.33,0.75,1.11,10.45,0.8,0.35,314,48908,298,893,4119,156766,68292,31,394,9484,49,225058,9533,2974977.46,991.66,8835,0,0,0,0,0,95.8,0,0,0,0,0,0,0,0,106,1,0.0655737705,0.9344262295,A
8.4,0,1.3,2,2.74,10.33,0.76,1.09,10.57,0.8,0.35,311,48891,297,884,4124,156856,68339,31,390,9474,49,225195,9523,2976447.44,992.15,8846,0,0,0,0,0,98.9,0,0,0,1,0,0,0,0,23,2,0.1870588235,0.8129411765,A
8.4,0,1.3,2,2.74,10.33,0.76,1.08,10.56,0.8,0.35,311,48816,297,876,4120,156689,68241,31,390,9467,49,224930,9516,2972706.27,990.9,8835,0,0,0,0,0,82.2,0,0,0,0,0,0,0,1,7,1,0.1129807692,0.8870192308,A
8.4,0,1.3,2,2.73,10.32,0.76,1.08,10.57,0.8,0.35,310,48725,296,876,4114,156289,68101,31,389,9425,49,224390,9474,2964137.58,988.05,8827,0,0,0,0,0,97.9,0,0,0,0,0,0,0,0,47,1,0.0086887836,0.9913112164,A
8.3,0,1.3,2,2.74,10.33,0.77,1.09,10.69,0.8,0.35,309,48692,296,876,4107,156204,68062,31,384,9412,49,224266,9461,2962055.3,987.35,8820,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4,1,0.4333333333,0.5666666667,A
7.7,0,1.3,2,2.76,10.44,0.79,1.08,10.76,0.81,0.35,303,47693,294,852,4004,153836,67184,31,372,9250,49,221020,9299,2913675.68,971.23,8681,1,1,2,0,22,73.2,0,0,0,0,0,0,0,0,44,1,0.200462963,0.799537037,A
7.8,0,1.3,2,2.76,10.44,0.79,1.08,10.8,0.81,0.34,303,47521,293,848,3988,153366,67010,31,369,9209,49,220376,9258,2903781.02,967.93,8664,2,9,11,4,20,97.9,0,0,0,1,0,0,0,0,47,1,0.0091594828,0.9908405172,A
7.4,0,1.31,2,2.8,10.35,0.86,1.12,11.69,0.8,0.34,284,46092,288,822,3907,149259,65277,29,334,8901,49,214536,8950,2816358.23,938.79,8453,0,0,0,0,0,100,0,0,0,1,0,0,0,0,18,1,0.3918128655,0.6081871345,A
7.5,0,1.31,2,2.79,10.35,0.86,1.12,11.72,0.8,0.34,283,46053,288,822,3903,149157,65235,29,333,8887,49,214392,8936,2813983.64,937.99,8446,0,0,0,0,0,94.3,1,0,0,0,0,0,0,0,212,1,0.0130042794,0.9869957206,A
6.4,0,1.31,2,2.81,10.38,0.87,1.15,11.87,0.81,0.32,279,45651,284,820,3859,147647,64687,29,325,8822,49,212334,8871,2784735.14,928.25,8373,2,2,4,3,21,98,1,0,0,1,0,0,0,0,366,10,0.005393026,0.994606974,A
6.4,0,1.31,2,2.81,10.37,0.88,1.15,11.82,0.81,0.32,279,45483,286,818,3844,146837,64306,29,325,8800,49,211143,8849,2768358.94,922.79,8351,0,0,0,0,0,98,0,0,0,1,0,0,0,0,363,2,0.0053576865,0.9946423135,A
6.6,0,1.31,2.01,2.82,10.44,0.88,1.14,11.91,0.82,0.32,269,44628,279,792,3752,144167,63375,29,315,8604,49,207542,8653,2714438.63,904.81,8198,1,3,4,9,18,92.3,0,0,0,1,0,0,0,1,44,1,0.0251486054,0.9748513946,A
6.6,0,1.31,2.01,2.82,10.44,0.88,1.14,11.91,0.82,0.32,269,44627,279,792,3752,144161,63368,29,315,8604,49,207529,8653,2714268.61,904.76,8197,0,0,0,0,0,95.5,0,0,0,0,0,0,0,0,82,1,0.0113900982,0.9886099018,A
6.6,0,1.31,2.01,2.82,10.44,0.88,1.14,11.91,0.82,0.32,269,44640,279,792,3752,144184,63382,29,315,8605,49,207566,8654,2714787.14,904.93,8197,1,1,2,10,41,90.1,0,0,0,0,0,0,0,0,125,27,0.1227978419,0.8772021581,A
6.6,0,1.31,2.01,2.82,10.36,0.88,1.13,11.73,0.82,0.32,268,43722,278,790,3695,140658,61730,29,315,8508,49,202388,8557,2643772.05,881.26,8051,0,0,0,0,0,96.6,0,0,0,0,0,0,0,0,228,1,0.0116531503,0.9883468497,A
6.7,0,1.32,2.02,2.83,10.44,0.88,1.09,11.78,0.83,0.32,265,43667,275,768,3664,141162,62094,29,311,8438,49,203256,8487,2652701.97,884.23,8045,1,1,2,5,14,98.1,0,0,0,1,0,0,0,0,48,2,0.0102283105,0.9897716895,A
6.7,0,1.3,1.98,2.83,10.16,0.88,1.09,12.33,0.8,0.32,265,44502,275,768,3836,142176,62510,29,311,8483,49,204686,8532,2672926.56,890.98,8215,0,0,0,0,0,100,0,0,0,1,0,0,0,0,208,1,0.0116867404,0.9883132596,A
6.7,0,1.3,1.98,2.83,10.16,0.88,1.09,12.33,0.8,0.32,265,44502,275,768,3836,142176,62510,29,311,8483,49,204686,8532,2672926.56,890.98,8215,1,1,2,1,27,72.7,0,0,1,0,0,0,0,0,42,1,0.1584771193,0.8415228807,A
6.7,0,1.3,1.98,2.83,10.16,0.88,1.09,12.33,0.8,0.32,265,44502,275,768,3836,142176,62510,29,311,8483,49,204686,8532,2672926.56,890.98,8215,0,0,0,0,0,97.8,0,0,0,1,0,0,0,0,197,1,0.0135460566,0.9864539434,A
6.7,0,1.3,1.98,2.83,10.16,0.88,1.09,12.33,0.8,0.32,265,44502,275,768,3836,142176,62510,29,311,8483,49,204686,8532,2672926.56,890.98,8215,0,0,0,0,0,99.1,0,0,0,0,0,0,1,0,195,1,0.0136734694,0.9863265306,A
7.1,0,1.29,1.98,2.9,10.09,0.91,1.16,12.6,0.8,0.35,264,44513,281,771,3858,141484,62705,29,306,8179,49,204189,8228,2655748.71,885.25,8267,0,0,0,0,0,95.3,0,0,0,1,0,0,1,0,76,2,0.0715811966,0.9284188034,A
9.5,0,1.27,1.89,3.08,9.32,1.06,1,11.23,0.75,0.44,321,51414,447,921,4698,158108,71073,29,418,8777,49,229181,8826,3004000.04,1001.33,9791,1,1,2,3,7,97.1,0,0,0,1,0,0,0,0,40,1,0.1103979461,0.8896020539,A
9.5,0,1.27,1.89,3.08,9.32,1.06,1,11.23,0.75,0.44,321,51408,447,921,4697,158081,71060,29,418,8769,49,229141,8818,3003175.96,1001.06,9790,0,0,0,0,0,77.2,0,0,1,0,0,0,0,0,6,1,0.1536796537,0.8463203463,A
9.5,0,1.27,1.89,3.08,9.3,1.07,0.97,11.19,0.75,0.45,320,51036,447,907,4669,156619,70552,29,417,8621,49,227171,8670,2971809.28,990.6,9759,0,0,0,0,0,97.9,0,0,0,1,0,0,0,0,19,1,0.1026315789,0.8973684211,A
9.6,0,1.27,1.89,3.08,9.3,1.07,0.96,11.21,0.75,0.45,319,50977,446,905,4665,156461,70477,29,416,8606,49,226938,8655,2968194.29,989.4,9743,0,0,0,0,0,100,0,0,0,1,0,0,0,0,80,1,0.0147171654,0.9852828346,A
9.3,0,1.27,1.88,3.11,9.2,1.09,0.96,11.45,0.73,0.45,300,48753,433,866,4513,149561,67844,26,394,8361,49,217405,8410,2834502.49,944.83,9343,1,1,2,0,5,83.3,1,1,0,1,0,0,0,0,18,1,0.0651629073,0.9348370927,A
9.5,0,1.26,1.87,3.35,9.1,1.01,0.91,10.55,0.72,0.49,340,49657,444,918,4624,151368,68545,26,438,8510,50,219913,8560,2872810.4,957.6,9522,1,2,3,0,10,99.4,0,0,0,1,0,0,0,0,202,2,0.06604426,0.93395574,A
9.6,0,1.26,1.87,3.35,9.12,1.01,0.9,10.35,0.72,0.49,339,48817,444,908,4525,148486,67442,26,437,8361,50,215928,8411,2815282.56,938.43,9332,0,0,0,0,0,82.4,0,0,0,1,0,0,0,0,62,1,0.1877394636,0.8122605364,A
9.6,0,1.26,1.86,3.35,9.1,1.02,0.91,10.3,0.72,0.49,337,48326,444,907,4482,146771,66841,26,435,8291,50,213612,8341,2782510.9,927.5,9235,0,0,0,0,0,99.2,0,0,0,1,0,0,0,0,24,1,0.1858823529,0.8141176471,A
9.6,0,1.26,1.87,3.16,9.12,1.09,0.98,10.96,0.72,0.46,307,47709,443,898,4417,144704,65975,26,403,8193,50,210679,8243,2740713.37,913.57,9109,2,4,6,0,40,72,0,0,1,1,0,1,0,0,18,2,0.2697916667,0.7302083333,A
9.4,0,1.26,1.87,3.13,9.16,1.12,0.97,11.27,0.72,0.46,288,46534,428,835,4308,142234,64866,26,382,7942,49,207100,7991,2684877.6,894.96,8876,0,0,0,0,0,100,0,0,0,0,0,0,0,0,51,1,0.0327442827,0.9672557173,A
9.4,0,1.26,1.86,3.13,9.16,1.12,0.97,11.27,0.72,0.46,288,46528,428,835,4308,142217,64859,26,382,7940,49,207076,7989,2684491.68,894.83,8875,0,0,0,0,0,82.3,0,0,0,1,0,0,0,0,13,1,0.0808270677,0.9191729323,A
9.4,0,1.26,1.87,3.13,9.16,1.12,0.97,11.24,0.72,0.46,288,46425,428,834,4297,142150,64716,26,382,7911,49,206866,7960,2680683.96,893.56,8855,0,0,0,0,0,97.1,0,0,0,1,0,0,0,0,19,1,0.0866666667,0.9133333333,A
7.9,0,1.27,1.9,3.1,9.37,1.13,1.07,12.07,0.73,0.42,266,44717,384,769,4081,137679,62841,24,338,7792,49,200520,7841,2594091.53,864.7,8514,0,0,0,0,0,100,0,0,0,1,0,0,0,0,11,1,0.3425925926,0.6574074074,A
7.9,0,1.27,1.9,3.1,9.38,1.13,1.07,12.07,0.73,0.42,266,44727,384,769,4081,137744,62860,24,338,7795,49,200604,7844,2595288.93,865.1,8513,0,0,0,0,0,98.2,0,0,0,1,0,0,0,0,5,1,0.5,0.5,A
8.2,0,1.28,1.92,3.11,9.44,1.16,1.1,12.23,0.73,0.41,265,44547,384,767,4025,137135,62668,24,329,7756,49,199803,7805,2583489.33,861.16,8485,0,0,0,0,0,63.4,0,0,0,0,0,0,0,1,17,1,0.2053734062,0.7946265938,A
8.2,0,1.28,1.92,3.11,9.44,1.16,1.1,12.23,0.73,0.41,265,44540,384,767,4024,137124,62661,24,329,7755,49,199785,7804,2583219.66,861.07,8484,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,17,11,0.04,0.96,A
8.2,0,1.27,1.92,3.11,9.44,1.16,1.09,12.22,0.73,0.41,265,44505,384,766,4022,136930,62618,24,329,7738,49,199548,7787,2579527.44,859.84,8481,0,0,0,0,0,98.6,0,0,0,1,0,0,0,0,70,1,0.0080377553,0.9919622447,A
8.2,0,1.27,1.91,3.11,9.43,1.16,1.09,12.21,0.73,0.41,265,44437,384,766,4018,136631,62527,24,329,7722,49,199158,7771,2573894.99,857.96,8467,0,0,0,0,0,99.5,0,1,0,0,0,0,0,0,181,1,0.0730995808,0.9269004192,A
8.2,0,1.27,1.91,3.1,9.43,1.16,1.09,12.19,0.73,0.41,265,44361,384,766,4013,136278,62414,24,329,7703,49,198692,7752,2567170.74,855.72,8452,0,0,0,0,0,99.5,0,0,0,0,0,0,1,0,182,1,0.0767533965,0.9232466035,A
8.2,0,1.27,1.91,3.1,9.43,1.16,1.09,12.19,0.73,0.41,265,44355,384,766,4012,136259,62405,24,329,7700,49,198664,7749,2566698.04,855.57,8451,0,0,0,0,0,99.5,0,0,0,0,0,0,0,0,180,2,0.0769482811,0.9230517189,A
8.2,0,1.27,1.91,3.1,9.43,1.16,1.09,12.18,0.73,0.41,265,44336,384,766,4010,136222,62382,24,329,7694,49,198604,7743,2565700.91,855.23,8447,0,0,0,0,0,99.2,0,0,0,1,0,0,0,0,28,1,0.2441942294,0.7558057706,A
8.2,0,1.27,1.91,3.1,9.4,1.16,1.09,12.13,0.73,0.41,265,44046,384,766,3992,135396,61965,24,329,7672,49,197361,7721,2548832.84,849.61,8381,1,4,5,1,15,93.8,0,0,1,0,1,1,0,1,11,1,0.0655136268,0.9344863732,A
8.2,0,1.27,1.91,3.11,9.39,1.17,1.09,12.18,0.73,0.42,265,43819,384,763,3972,134608,61651,24,326,7650,49,196259,7699,2533793.05,844.6,8341,0,0,0,0,0,100,0,0,0,1,0,0,0,1,66,1,0.0225117506,0.9774882494,A
8.4,0,1.27,1.9,3.1,9.37,1.18,1.14,12.29,0.73,0.41,262,43324,379,765,3935,133106,61054,24,320,7611,49,194160,7660,2505271.46,835.09,8252,0,0,0,0,0,96.8,0,0,0,1,0,0,0,0,18,1,0.0859649123,0.9140350877,A
11.4,0,1.19,2.01,2.48,11.07,0.76,1.51,5.62,0.77,0.67,1234,170556,1615,4294,11808,500615,226287,140,2099,40756,55,726902,40811,11133718.37,3711.24,27137,1,3,4,3,9,95.8,0,0,0,1,0,0,0,0,303,2,0.0451055792,0.9548944208,A
