ProjectID, BugId, FaultNodeName, FaultNode_InDegree, FaultNode_OutDegree, FaultNodeDegreeCentrality, CBO, RFC, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode, NoOfTestCasesFailsCoversFaultNode, NoOfTestCasesExecutesDynamicCallGraph, InDegreeMethodCallsList, OutDegreeMethodCallsList
Chart, 25, org.jfree.chart.renderer.category.StatisticalBarRenderer#240, 1, 15, 16, 37, 19, 2, 0, 2, 10, org.jfree.chart.renderer.category.StatisticalBarRenderer#200, org.jfree.chart.plot.CategoryPlot#1078/org.jfree.chart.plot.CategoryPlot#802/org.jfree.chart.renderer.AbstractRenderer#614/org.jfree.chart.renderer.category.BarRenderer#459/org.jfree.chart.axis.NumberAxis#526/org.jfree.data.statistics.DefaultStatisticalCategoryDataset#107/org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#695/org.jfree.chart.renderer.category.CategoryItemRendererState#82/org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#295/org.jfree.chart.renderer.RendererState#85/org.jfree.data.statistics.DefaultStatisticalCategoryDataset#169/org.jfree.chart.renderer.category.BarRenderer#268/org.jfree.chart.renderer.category.BarRenderer#470/org.jfree.chart.axis.CategoryAxis#592/org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#705
Chart, 26, org.jfree.chart.axis.Axis#1097, 4, 12, 16, 107, 63, 45, 23, 22, 525, org.jfree.chart.axis.NumberAxis#657/org.jfree.chart.axis.DateAxis#1689/org.jfree.chart.axis.CategoryAxis#816/org.jfree.chart.axis.NumberAxis3D#133, org.jfree.chart.axis.Axis#410/org.jfree.chart.axis.Axis#438/org.jfree.chart.axis.Axis#467/org.jfree.chart.text.TextUtilities#290/org.jfree.chart.util.RectangleInsets#129/org.jfree.chart.util.RectangleInsets#120/org.jfree.chart.plot.PlotRenderingInfo#103/org.jfree.chart.axis.AxisState#91/org.jfree.chart.axis.Axis#381/org.jfree.chart.text.TextUtilities#544/org.jfree.chart.axis.AxisState#130/org.jfree.chart.axis.AxisState#139
Lang, 1, org.apache.commons.lang3.math.NumberUtils#451, 1, 2, 3, 1, 5, 10, 9, 1, 15, org.apache.commons.lang3.math.NumberUtilsTest#251, org.apache.commons.lang3.StringUtils#257/org.apache.commons.lang3.math.NumberUtils#680
Lang, 2, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 3, org.apache.commons.lang3.math.NumberUtils#451, 1, 3, 4, 1, 7, 9, 8, 1, 23, org.apache.commons.lang3.math.NumberUtilsTest#124, org.apache.commons.lang3.StringUtils#257/org.apache.commons.lang3.math.NumberUtils#643/org.apache.commons.lang3.math.NumberUtils#621
Lang, 4, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 5, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 6, org.apache.commons.lang3.text.translate.CharSequenceTranslator#76, 1, 1, 2, 2, 3, 38, 37, 1, 40, org.apache.commons.lang3.text.translate.CharSequenceTranslator#54, org.apache.commons.lang3.StringEscapeUtils$CsvEscaper#156
Lang, 7, org.apache.commons.lang3.math.NumberUtils#714, 1, 1, 2, 4, 12, 3, 2, 1, 6, org.apache.commons.lang3.math.NumberUtils#446, org.apache.commons.lang3.StringUtils#235
Lang, 8, org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule#1134, 1, 1, 2, 5, 4, 4, 2, 2, 13, org.apache.commons.lang3.time.FastDatePrinter#453, org.apache.commons.lang3.time.FastDatePrinter#1079
Lang, 9, org.apache.commons.lang3.time.FastDateParser#116, 1, 3, 4, 5, 20, 79, 77, 2, 80, org.apache.commons.lang3.time.FastDateParser#104, org.apache.commons.lang3.time.FastDateParser#535/org.apache.commons.lang3.time.FastDateParser$NumberStrategy#718/org.apache.commons.lang3.time.FastDateParser$CopyQuotedStrategy#624
Lang, 10, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 11, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 12, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 13, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 14, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 15, org.apache.commons.lang3.reflect.TypeUtils#181, 1, 4, 5, 3, 23, 3, 2, 1, 14, org.apache.commons.lang3.reflect.TypeUtils#79, org.apache.commons.lang3.reflect.TypeUtils#986/org.apache.commons.lang3.reflect.TypeUtils#600/org.apache.commons.lang3.reflect.TypeUtils#547/org.apache.commons.lang3.reflect.TypeUtils#79
Lang, 16, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 17, org.apache.commons.lang3.text.translate.CharSequenceTranslator#76, 1, 1, 2, 2, 3, 34, 33, 1, 36, org.apache.commons.lang3.text.translate.CharSequenceTranslator#54, org.apache.commons.lang3.text.translate.AggregateTranslator#51
Lang, 18, org.apache.commons.lang3.time.FastDateFormat#464, 1, 5, 6, 3, 55, 25, 24, 1, 28, org.apache.commons.lang3.time.FastDateFormat#444, org.apache.commons.lang3.time.FastDateFormat$CharacterLiteral#936/org.apache.commons.lang3.time.FastDateFormat#653/org.apache.commons.lang3.time.FastDateFormat$TimeZoneNameRule#1387/org.apache.commons.lang3.time.FastDateFormat#594/org.apache.commons.lang3.time.FastDateFormat$TextField#1000
Lang, 19, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 20, org.apache.commons.lang3.StringUtils#3290, 2, 1, 3, 0, 10, 2, 1, 1, 6, org.apache.commons.lang3.StringUtils#3256/org.apache.commons.lang3.StringUtilsTest#201, org.apache.commons.lang3.StringUtilsTest$1#74
Lang, 21, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 22, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 23, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 24, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 25, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 26, org.apache.commons.lang3.time.FastDateFormat#820, 1, 1, 2, 0, 22, 31, 30, 1, 35, org.apache.commons.lang3.time.FastDateFormatTest#329, org.apache.commons.lang3.time.FastDateFormat#888
Lang, 27, org.apache.commons.lang3.math.NumberUtils#453, 2, 9, 11, 4, 20, 3, 2, 1, 3, org.apache.commons.lang3.math.NumberUtilsTest#1146/org.apache.commons.lang3.math.NumberUtilsTest#178, org.apache.commons.lang3.math.NumberUtils#682/org.apache.commons.lang3.StringUtils#233/org.apache.commons.lang3.math.NumberUtils#714/org.apache.commons.lang3.math.NumberUtils#648/org.apache.commons.lang3.math.NumberUtils#1292/org.apache.commons.lang3.math.NumberUtils#698/org.apache.commons.lang3.math.NumberUtils#665/org.apache.commons.lang3.math.NumberUtils#632/org.apache.commons.lang3.math.NumberUtils#610
Lang, 28, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 29, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 30, org.apache.commons.lang3.StringUtils#1372, 2, 2, 4, 3, 21, 4, 2, 2, 52, org.apache.commons.lang3.StringUtilsEqualsIndexOfTest#527/org.apache.commons.lang3.StringUtils#1412, org.apache.commons.lang3.ArrayUtils#3279/org.apache.commons.lang3.StringUtils#194
Lang, 31, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 32, org.apache.commons.lang3.builder.HashCodeBuilder#522, 1, 3, 4, 9, 18, 8, 7, 1, 28, org.apache.commons.lang3.builder.HashCodeBuilder#173, org.apache.commons.lang3.builder.HashCodeBuilder#137/org.apache.commons.lang3.builder.IDKey#55/org.apache.commons.lang3.builder.IDKey#40
Lang, 33, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 34, org.apache.commons.lang3.builder.ToStringStyle#163, 1, 1, 2, 10, 41, 111, 84, 27, 222, org.apache.commons.lang3.builder.ToStringStyle#469, org.apache.commons.lang3.builder.ToStringStyle#148
Lang, 35, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 36, org.apache.commons.lang3.math.NumberUtils#1313, 1, 1, 2, 5, 14, 1, 0, 1, 22, org.apache.commons.lang3.math.NumberUtilsTest#1003, org.apache.commons.lang3.StringUtils#191
Lang, 37, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 38, org.apache.commons.lang3.time.FastDateFormat#871, 1, 1, 2, 1, 27, 34, 33, 1, 36, org.apache.commons.lang3.time.FastDateFormat#832, org.apache.commons.lang3.time.FastDateFormat#887
Lang, 39, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 40, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 41, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 42, org.apache.commons.lang.Entities#826, 1, 1, 2, 3, 7, 6, 5, 1, 12, org.apache.commons.lang.StringEscapeUtils#498, org.apache.commons.lang.Entities#766
Lang, 43, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 44, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 45, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 46, org.apache.commons.lang.StringEscapeUtils#155, 1, 1, 2, 0, 5, 5, 4, 1, 17, org.apache.commons.lang.StringEscapeUtils#86, org.apache.commons.lang.StringEscapeUtils#179
Lang, 47, org.apache.commons.lang.text.StrBuilder#1183, 1, 2, 3, 0, 10, 3, 2, 1, 12, org.apache.commons.lang.text.StrBuilderTest#1760, org.apache.commons.lang.text.StrBuilder#158/org.apache.commons.lang.text.StrBuilder#228
Lang, 48, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 49, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 50, org.apache.commons.lang.time.FastDateFormat#461, 2, 4, 6, 0, 40, 1, 0, 1, 9, org.apache.commons.lang.time.FastDateFormat#425/org.apache.commons.lang.time.FastDateFormat#408, org.apache.commons.lang.time.FastDateFormat$Pair#1738/org.apache.commons.lang.time.FastDateFormat$Pair#1717/org.apache.commons.lang.time.FastDateFormat$Pair#1708/org.apache.commons.lang.time.FastDateFormat#212
Lang, 51, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 52, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 53, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 54, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 55, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 56, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 57, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 58, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 59, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 60, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 61, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 62, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 63, org.apache.commons.lang.time.DurationFormatUtils#265, 1, 4, 5, 1, 15, 3, 2, 1, 8, org.apache.commons.lang.time.DurationFormatUtils#247, org.apache.commons.lang.time.DurationFormatUtils#380/org.apache.commons.lang.time.DurationFormatUtils$Token#528/org.apache.commons.lang.time.DurationFormatUtils#460/org.apache.commons.lang.time.DurationFormatUtils#433
Lang, 64, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Lang, 65, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 1, org.joda.time.field.UnsupportedDurationField#227, 1, 1, 2, 3, 4, 7, 6, 1, 165, org.joda.time.field.UnsupportedDurationField#32, org.joda.time.field.BaseDurationField#66
Time, 2, org.joda.time.Partial#429, 1, 5, 6, 24, 13, 31, 30, 1, 194, org.joda.time.TestPartial_Basics#468, org.joda.time.base.AbstractPartial#170/org.joda.time.Partial#190/org.joda.time.field.UnsupportedDurationField#92/org.joda.time.DateTimeFieldType$StandardDateTimeFieldType#452/org.joda.time.DurationFieldType$StandardDurationFieldType#282
Time, 3, org.joda.time.MutableDateTime#660, 1, 5, 6, 48, 14, 3, 2, 1, 41, org.joda.time.TestMutableDateTime_Adds#223, org.joda.time.chrono.ZonedChronology$ZonedDurationField#315/org.joda.time.chrono.AssembledChronology#264/org.joda.time.base.BaseDateTime#295/org.joda.time.MutableDateTime#454/org.joda.time.base.BaseDateTime#304
Time, 4, org.joda.time.Partial#427, 1, 8, 9, 24, 15, 28, 27, 1, 31, org.joda.time.TestPartial_Basics#361, org.joda.time.base.AbstractPartial#170/org.joda.time.Partial#296/org.joda.time.field.BaseDurationField#66/org.joda.time.chrono.BaseChronology#183/org.joda.time.DateTimeFieldType$StandardDateTimeFieldType#452/org.joda.time.DateTimeFieldType$StandardDateTimeFieldType#457/org.joda.time.DurationFieldType$StandardDurationFieldType#282/org.joda.time.field.BaseDurationField#38
Time, 5, org.joda.time.Period#1617, 3, 13, 16, 30, 36, 21, 18, 3, 33, org.joda.time.TestPeriod_Basics#1521/org.joda.time.TestPeriod_Basics#1552/org.joda.time.TestPeriod_Basics#1528, org.joda.time.chrono.ISOChronology#77/org.joda.time.Period#746/org.joda.time.DateTimeUtils#318/org.joda.time.Period#783/org.joda.time.Period#737/org.joda.time.Period#895/org.joda.time.Period#774/org.joda.time.Period#801/org.joda.time.Period#764/org.joda.time.Period#444/org.joda.time.Period#755/org.joda.time.Period#792/org.joda.time.field.FieldUtils#64
Time, 6, org.joda.time.chrono.GJChronology$ImpreciseCutoverField#974, 2, 4, 6, 11, 8, 31, 27, 4, 87, org.joda.time.LocalDate$Property#1965/org.joda.time.chrono.GJChronology$LinkedDurationField#1099, org.joda.time.chrono.GJChronology$CutoverField#921/org.joda.time.chrono.BasicWeekyearDateTimeField#72/org.joda.time.chrono.BasicYearDateTimeField#58/org.joda.time.chrono.GJChronology#75
Time, 7, org.joda.time.format.DateTimeFormatter#701, 2, 11, 13, 14, 20, 25, 23, 2, 27, org.joda.time.format.TestDateTimeFormatter#930/org.joda.time.format.TestDateTimeFormatter#958, org.joda.time.tz.CachedDateTimeZone#103/org.joda.time.chrono.AssembledChronology#268/org.joda.time.format.DateTimeFormatterBuilder$Composite#2734/org.joda.time.base.BaseDateTime#295/org.joda.time.format.DateTimeParserBucket#120/org.joda.time.format.DateTimeFormatter#928/org.joda.time.chrono.AssembledChronology#107/org.joda.time.chrono.ZonedChronology$ZonedDateTimeField#403/org.joda.time.base.BaseDateTime#304/org.joda.time.format.DateTimeParserBucket#345/org.joda.time.format.DateTimeFormatter#943
Time, 8, org.joda.time.DateTimeZone#273, 1, 2, 3, 13, 14, 21, 20, 1, 81, org.joda.time.TestDateTimeZone#304, org.joda.time.DateTimeZone#304/org.joda.time.field.FieldUtils#119
Time, 9, org.joda.time.DateTimeZone#255, 1, 3, 4, 14, 15, 21, 20, 1, 112, org.joda.time.TestDateTimeZone#304, org.joda.time.DateTimeZone#283/org.joda.time.field.FieldUtils#119/org.joda.time.field.FieldUtils#64
Time, 10, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 11, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 12, org.joda.time.LocalDate#240, 2, 1, 3, 84, 24, 10, 8, 2, 37, org.joda.time.TestLocalDate_Constructors#151/org.joda.time.TestLocalDate_Constructors#143, org.joda.time.LocalDate#426
Time, 13, org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#1089, 1, 3, 4, 28, 9, 86, 85, 1, 175, org.joda.time.format.PeriodFormatterBuilder$Composite#1797, org.joda.time.format.FormatUtils#336/org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#1382/org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#864
Time, 14, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 15, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 16, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 17, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 18, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 19, org.joda.time.DateTimeZone#882, 1, 1, 2, 7, 5, 736, 735, 1, 752, org.joda.time.chrono.ZonedChronology#139, org.joda.time.tz.CachedDateTimeZone#111
Time, 20, org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId#2541, 1, 2, 3, 7, 6, 9, 8, 1, 25, org.joda.time.format.DateTimeFormatterBuilder$Composite#2682, org.joda.time.format.DateTimeParserBucket#159/org.joda.time.DateTimeZone#204
Time, 21, org.joda.time.tz.DefaultNameProvider#53, 2, 2, 4, 3, 7, 26, 24, 2, 37, org.joda.time.tz.DefaultNameProvider#43/org.joda.time.tz.DefaultNameProvider#48, org.joda.time.DateTimeUtils#365/org.joda.time.tz.DefaultNameProvider#89
Time, 22, org.joda.time.base.BasePeriod#222, 1, 1, 2, 14, 8, 50, 48, 2, 57, org.joda.time.Period#382, org.joda.time.base.BasePeriod#239
Time, 23, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 24, org.joda.time.format.DateTimeParserBucket#332, 1, 7, 8, 19, 19, 276, 269, 7, 287, org.joda.time.format.DateTimeFormatter#795, org.joda.time.format.DateTimeParserBucket#399/org.joda.time.DurationFieldType#178/org.joda.time.format.DateTimeParserBucket$SavedField#465/org.joda.time.DurationFieldType#151/org.joda.time.format.DateTimeParserBucket#494/org.joda.time.chrono.GJChronology$CutoverField#751/org.joda.time.DurationFieldType$StandardDurationFieldType#264
Time, 25, org.joda.time.DateTimeZone#881, 2, 2, 4, 4, 3, 724, 721, 3, 724, org.joda.time.chrono.ZonedChronology#139/org.joda.time.TestDateTimeZoneCutover#1229, org.joda.time.tz.CachedDateTimeZone#111/org.joda.time.tz.CachedDateTimeZone#123
Time, 26, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Time, 27, org.joda.time.format.PeriodFormatterBuilder#795, 2, 6, 8, 21, 46, 78, 77, 1, 80, org.joda.time.format.PeriodFormatterBuilder#795/org.joda.time.format.PeriodFormatterBuilder#123, org.joda.time.format.PeriodFormatter#146/org.joda.time.format.PeriodFormatter#87/org.joda.time.format.PeriodFormatterBuilder#795/org.joda.time.format.PeriodFormatterBuilder$Separator#1748/org.joda.time.format.PeriodFormatter#128/org.joda.time.format.PeriodFormatterBuilder#816
Closure, 1, com.google.javascript.jscomp.RemoveUnusedVars#380, 1, 12, 13, 88, 34, 99, 91, 8, 107, com.google.javascript.jscomp.RemoveUnusedVars#169, com.google.javascript.rhino.Node$StringNode#209/com.google.javascript.jscomp.Compiler#1984/com.google.javascript.jscomp.RemoveUnusedVars#413/com.google.common.base.Preconditions#132/com.google.javascript.jscomp.Scope$Var#303/com.google.javascript.jscomp.Scope#433/com.google.javascript.rhino.Node#1305/com.google.javascript.rhino.Node#691/com.google.javascript.rhino.Node#2238/com.google.javascript.jscomp.Scope#529/com.google.javascript.jscomp.NodeUtil#2137/com.google.javascript.rhino.Node#536
Closure, 2, com.google.javascript.jscomp.TypeCheck#1570, 1, 1, 2, 49, 15, 17, 16, 1, 17, com.google.javascript.jscomp.TypeCheck#1602, com.google.javascript.rhino.jstype.ProxyObjectType#256
Closure, 3, com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#282, 1, 23, 24, 52, 38, 72, 69, 3, 255, com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#250, com.google.javascript.rhino.Node#2162/com.google.javascript.jscomp.NodeUtil#784/com.google.javascript.jscomp.CheckPathsBetweenNodes#122/com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate$1#364/com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate$2#379/com.google.javascript.jscomp.graph.LinkedDirectedGraph#113/com.google.javascript.jscomp.NodeUtil#1644/com.google.javascript.rhino.Node#1305/com.google.javascript.jscomp.MaybeReachingVariableUse#297/com.google.javascript.jscomp.CheckPathsBetweenNodes#87/com.google.javascript.rhino.Node#2238/com.google.common.collect.AbstractMultimap$WrappedCollection#476/com.google.common.base.Predicates#59/com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#475/com.google.javascript.jscomp.NodeUtil#1584/com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#445/com.google.javascript.jscomp.Scope$Var#303/com.google.javascript.jscomp.NodeUtil#2680/com.google.javascript.jscomp.FlowSensitiveInlineVariables#60/com.google.javascript.rhino.Node#536/com.google.javascript.jscomp.NodeUtil#1738/com.google.javascript.rhino.Node#540/com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#277
Closure, 4, com.google.javascript.rhino.jstype.NamedType#189, 1, 6, 7, 19, 16, 335, 332, 3, 335, com.google.javascript.rhino.jstype.JSType#1420, com.google.javascript.rhino.jstype.NamedType#147/com.google.javascript.rhino.jstype.NamedType#134/com.google.javascript.rhino.jstype.ObjectType#179/com.google.javascript.rhino.jstype.JSTypeRegistry#796/com.google.javascript.rhino.jstype.ProxyObjectType#327/com.google.javascript.rhino.jstype.NamedType#220
Closure, 5, com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#156, 1, 18, 19, 77, 29, 57, 56, 1, 58, com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#85, com.google.javascript.jscomp.ReferenceCollectingCallback$Reference#602/com.google.javascript.rhino.Node#2178/com.google.javascript.rhino.Node$StringNode#209/com.google.javascript.rhino.Node#1305/com.google.javascript.rhino.Node#2242/com.google.javascript.rhino.Node#2250/com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#256/com.google.javascript.jscomp.ReferenceCollectingCallback$Reference#598/com.google.javascript.jscomp.ReferenceCollectingCallback$Reference#588/com.google.javascript.jscomp.ReferenceCollectingCallback$Reference#544/com.google.common.base.Preconditions#132/com.google.javascript.rhino.Node#536/com.google.javascript.rhino.Node#532/com.google.javascript.rhino.Node#2306/com.google.common.collect.Sets#176/com.google.javascript.rhino.Node#540/com.google.javascript.jscomp.NodeUtil#1727/com.google.javascript.rhino.Node#2330
